Product ID,Name,Category,Price,Brand,Description,Rating,Stock Quantity,Size,Color,Warranty
1147,Adidas Originals Hoodie,Fashion,60,Adidas,Cozy hoodie with logo print,4.5,200,L,Gray,1 year
1012,Adidas Sneakers,Fashion,100,Adidas,Comfortable sneakers for everyday wear,4.4,60,10 US,Gray,N/A
1113,Adidas Ultraboost 22,Fashion,180,Adidas,Comfortable running shoes,4.8,100,10 US,Black,1 year
1033,Air Fryer,Home & Kitchen,150,Philips,Oil-free cooking with rapid air technology,4.6,60,N/A,Black,1 year
1183,Alienware Aurora Ryzen Edition,Gaming,2199.99,Alienware,Gaming desktop with AMD Ryzen 9,4.8,20,N/A,Black,1 year
1005,Aloe Vera Gel,Beauty,12.99,Nature's Way,Hydrating aloe vera gel,4.6,100,250 ml,Green,N/A
1109,Amazon Echo Dot,Electronics,49.99,Amazon,Smart speaker with Alexa,4.4,500,N/A,Charcoal,1 year
1136,Amazon Kindle Paperwhite,Books,129.99,Amazon,Waterproof e-reader with 8GB storage,4.6,100,N/A,Black,1 year
1189,Anker PowerCore 10000,Accessories,25.99,Anker,Compact portable charger with 10000mAh capacity,4.7,200,N/A,Black,1 year
1127,Apple AirPods Pro 2,Electronics,249.99,Apple,Active noise-canceling earbuds,4.7,200,N/A,White,1 year
1145,Apple iPad 9th Gen,Electronics,329.99,Apple,10.2-inch tablet with A13 Bionic chip,4.7,150,N/A,Space Gray,1 year
1193,Apple iPhone 12,Mobile Phones,799.99,Apple,Smartphone with 5G support,4.6,300,N/A,Blue,1 year
1162,Apple Mac Mini,Electronics,699.99,Apple,Compact desktop with M1 chip,4.8,50,N/A,Space Gray,1 year
1181,Apple Magic Keyboard,Accessories,99.99,Apple,Wireless keyboard for Mac,4.7,100,N/A,White,1 year
1175,Apple Pencil 2nd Gen,Electronics,129.99,Apple,Stylus for iPad Pro,4.7,200,N/A,White,1 year
1035,Apple Watch,Electronics,399,Apple,Smartwatch with health features,4.8,75,N/A,Gold,1 year
1118,Apple Watch Series 7,Electronics,399.99,Apple,Smartwatch with health and fitness tracking,4.8,200,N/A,Green,1 year
1160,Asics Gel Nimbus 23,Fashion,160,Asics,Comfortable running shoes for long distances,4.7,90,10 US,Blue,1 year
1134,ASICS Gel-Kayano 28,Fashion,160,ASICS,Supportive running shoes,4.7,120,10 US,White,1 year
1051,Asus ROG Laptop,Electronics,1999.99,Asus,High-performance gaming laptop,4.8,35,N/A,Black,2 years
1119,Asus ROG Strix,Electronics,1599.99,Asus,High-performance gaming laptop,4.6,25,N/A,Black,1 year
1197,ASUS TUF Gaming Laptop,Electronics,1399.99,Asus,Gaming laptop with NVIDIA GTX 1660 Ti,4.6,30,N/A,Black,1 year
1180,Asus TUF Gaming Monitor,Electronics,249.99,Asus,27-inch Full HD gaming monitor with 165Hz refresh rate,4.7,75,N/A,Black,1 year
1021,Barbecue Grill,Home & Kitchen,250,Char-Broil,Outdoor barbecue grill,4.3,20,N/A,Black,2 years
1040,Bathrobe,Home & Kitchen,40,AmazonBasics,Soft and comfortable bathrobe,4.3,150,S,White,N/A
1124,Beats by Dre Studio3,Electronics,349.95,Beats,Wireless headphones with active noise cancellation,4.6,50,N/A,Matte Black,1 year
1155,Beats Fit Pro,Electronics,199.99,Beats,True wireless noise-canceling earbuds,4.7,150,N/A,Black,1 year
1161,Beats Solo Pro,Electronics,299.99,Beats,Over-ear noise-canceling headphones,4.6,80,N/A,Black,1 year
1182,Beats Studio Buds,Electronics,149.99,Beats,True wireless earbuds with noise cancellation,4.5,200,N/A,Red,1 year
1009,Blender,Home & Kitchen,120,Ninja,High-speed blender for smoothies,4.3,50,N/A,Silver,1 year
1014,Body Lotion,Beauty,15.99,Vaseline,Moisturizing body lotion,4.8,150,500 ml,Blue,N/A
1123,Bose QuietComfort 35 II,Electronics,299.99,Bose,Wireless noise-canceling headphones,4.8,100,N/A,Black,1 year
1169,Bose QuietComfort 45,Electronics,329.99,Bose,Wireless noise-canceling headphones,4.8,50,N/A,Black,1 year
1020,Bose Sound System,Electronics,499,Bose,High-quality sound system for home theaters,4.8,25,N/A,Black,1 year
1150,Bose SoundLink Revolve+,Audio,299.99,Bose,Portable Bluetooth speaker with 360° sound,4.8,50,N/A,Silver,1 year
1179,Bose SoundTouch 300,Audio,699.99,Bose,Soundbar with home theater audio,4.6,30,N/A,Black,1 year
1075,Camping Chair,Home & Kitchen,30,REI,Portable camping chair with cup holder,4.4,80,N/A,Green,1 year
1058,Camping Tent,Home & Kitchen,200,Big Agnes,Spacious 4-person camping tent,4.7,40,N/A,Green,1 year
1029,Canon DSLR Camera,Electronics,899,Canon,High-quality DSLR camera for photography,4.8,15,N/A,Black,2 years
1106,Canon EOS 5D Mark IV,Electronics,2499.99,Canon,Full-frame DSLR camera with 4K video,4.8,15,N/A,Black,1 year
1148,Canon EOS Rebel T7,Electronics,449.99,Canon,Entry-level DSLR camera with 24.1 MP,4.7,100,N/A,Black,1 year
1171,Canon RF 50mm F1.8 Lens,Electronics,199.99,Canon,Compact prime lens for Canon mirrorless cameras,4.8,30,N/A,Black,1 year
1082,Car Charger,Electronics,20,Anker,Fast charging car adapter,4.4,200,N/A,Black,1 year
1055,Car Vacuum,Home & Kitchen,50,Black+Decker,Portable vacuum for car cleaning,4.3,70,N/A,Black,1 year
1049,Chanel No. 5,Beauty,120,Chanel,Classic women's perfume,4.9,40,N/A,Clear,N/A
1093,Charger Cable,Electronics,10,Anker,Durable charging cable for smartphones,4.6,200,N/A,White,1 year
1077,Coffee Grinder,Home & Kitchen,35,Baratza,Precise grinder for coffee beans,4.5,100,N/A,Silver,1 year
1099,Coffee Machine,Home & Kitchen,100,Keurig,Single-serve coffee machine,4.4,150,N/A,Black,1 year
1129,Columbia Omni-Heat Jacket,Fashion,199.99,Columbia,Winter jacket with thermal insulation,4.5,50,M,Red,1 year
1065,Compact Vacuum,Home & Kitchen,80,Shark,Compact and powerful vacuum cleaner,4.4,70,N/A,Black,1 year
1165,Corsair K95 RGB Platinum,Accessories,199.99,Corsair,Mechanical gaming keyboard with RGB lighting,4.7,50,N/A,Black,1 year
1036,Curved Monitor,Electronics,299,Samsung,32-inch curved display for gaming and work,4.6,30,N/A,Black,2 years
1172,Dell Inspiron 15,Laptops,799.99,Dell,Affordable laptop with Intel i5 processor,4.6,80,N/A,Black,1 year
1015,Dell XPS 13,Electronics,1499.99,Dell,Premium laptop for productivity and entertainment,4.7,40,N/A,Silver,2 years
1092,Desk Chair,Home & Kitchen,120,Herman Miller,Ergonomic office chair for comfort,4.9,30,N/A,Black,10 years
1060,Desk Organizer,Home & Kitchen,15,AmazonBasics,Wooden desk organizer for office supplies,4.3,200,N/A,Brown,1 year
1066,Digital Camera,Electronics,200,Panasonic,Compact digital camera,4.3,90,N/A,Silver,1 year
1004,Dining Table Set,Home & Kitchen,350,IKEA,6-piece dining set,4.3,10,N/A,Brown,1 year
